@type xydy
0.374 -0.1223938826368316 0.1118832045107257
0.375 -0.1223673424574974 0.1116277089735919
0.376 -0.1223409260497238 0.1113735600766053
0.377 -0.1223146326056424 0.1111207485397874
0.378 -0.1222884613247528 0.1108692651597626
0.379 -0.1222624114138413 0.1106191008089137
0.38 -0.1222364820868997 0.1103702464345495
0.381 -0.1222106725650461 0.1101226930580822
0.382 -0.1221849820764461 0.1098764317742166
0.383 -0.1221594098562355 0.1096314537501485
0.384 -0.1221339551464438 0.1093877502247741
0.385 -0.1221086171959188 0.1091453125079096
0.386 -0.1220833952602522 0.1089041319795203
0.387 -0.1220582886017065 0.1086642000889599
0.388 -0.1220332964891422 0.1084255083542195
0.389 -0.1220084181979466 0.1081880483611859
0.39 -0.1219836530099633 0.1079518117629094
0.391 -0.1219590002134226 0.1077167902788809
0.392 -0.1219344591028729 0.107482975694318
0.393 -0.1219100289791133 0.1072503598594604
0.394 -0.121885709149126 0.1070189346888736
0.395 -0.1218614989260112 0.1067886921607617
0.396 -0.1218373976289218 0.1065596243162887
0.397 -0.1218134045829988 0.1063317232589084
0.398 -0.1217895191193084 0.1061049811537022
0.399 -0.1217657405747793 0.1058793902267254
0.4 -0.121742068292141 0.1056549427643619
0.401 -0.1217185016198626 0.1054316311126858
0.402 -0.1216950399120934 0.1052094476768325
0.403 -0.1216716825286026 0.1049883849203759
0.404 -0.1216484288347215 0.1047684353647141
0.405 -0.1216252782012854 0.1045495915884624
0.406 -0.1216022300045764 0.104331846226854
0.407 -0.1215792836262673 0.1041151919711471
0.408 -0.1215564384533657 0.1038996215680404
0.409 -0.1215336938781596 0.1036851278190947
0.41 -0.1215110492981627 0.1034717035801619
0.411 -0.121488504116061 0.103259341760821
0.412 -0.1214660577396602 0.1030480353238203
0.413 -0.1214437095818335 0.102837777284527
0.414 -0.1214214590604699 0.1026285607103828
0.415 -0.1213993055984237 0.1024203787203664
0.416 -0.1213772486234639 0.1022132244844619
0.417 -0.1213552875682251 0.1020070912231344
0.418 -0.1213334218701584 0.1018019722068103
0.419 -0.1213116509714829 0.1015978607553655
0.42 -0.1212899743191383 0.1013947502376183
0.421 -0.1212683913647376 0.1011926340708286
0.422 -0.1212469015645208 0.1009915057202035
0.423 -0.1212255043793086 0.1007913586984078
0.424 -0.1212041992744576 0.1005921865650807
0.425 -0.121182985719815 0.1003939829263582
0.426 -0.1211618631896747 0.1001967414344008
0.427 -0.1211408311627335 0.1000004557869266
0.428 -0.1211198891220479 0.09980511972674986
0.429 -0.1210990365549917 0.09961072704132521
0.43 -0.1210782729532137 0.09941727156229638
0.431 -0.1210575978125964 0.09922474716505061
0.432 -0.1210370106332148 0.09903314776827801
0.433 -0.1210165109192958 0.09884246733353587
0.434 -0.1209960981791783 0.0986526998648179
0.435 -0.1209757719252737 0.09846383940812842
0.436 -0.1209555316740268 0.09827588005106123
0.437 -0.1209353769458771 0.09808881592238334
0.438 -0.1209153072652208 0.09790264119162324
0.439 -0.1208953221603733 0.09771735006866381
0.44 -0.1208754211635317 0.09753293680333983
0.441 -0.1208556038107383 0.09734939568503982
0.442 -0.1208358696418444 0.09716672104231242
0.443 -0.1208162182004743 0.09698490724247702
0.444 -0.1207966490339898 0.09680394869123875
0.445 -0.1207771616934556 0.09662383983230758
0.446 -0.1207577557336042 0.09644457514702175
0.447 -0.1207384307128025 0.09626614915397511
0.448 -0.1207191861930172 0.09608855640864871
0.449 -0.1207000217397824 0.09591179150304618
0.45 -0.1206809369221659 0.09573584906533324
0.451 -0.1206619313127373 0.09556072375948094
0.452 -0.1206430044875354 0.0953864102849128
0.453 -0.1206241560260368 0.09521290337615572
0.454 -0.1206053855111244 0.09504019780249458
0.455 -0.1205866925290563 0.09486828836763055
0.456 -0.1205680766694355 0.094697169909343
0.457 -0.1205495375251794 0.09452683729915497
0.458 -0.12053107469249 0.09435728544200214
0.459 -0.1205126877708243 0.09418850927590536
0.46 -0.1204943763628654 0.09402050377164646
0.461 -0.1204761400744932 0.09385326393244756
0.462 -0.1204579785147564 0.09368678479365366
0.463 -0.120439891295844 0.09352106142241847
0.464 -0.1204218780330578 0.09335608891739354
0.465 -0.1204039383447845 0.09319186240842055
0.466 -0.1203860718524692 0.09302837705622673
0.467 -0.1203682781805877 0.09286562805212343
0.468 -0.1203505569566208 0.09270361061770771
0.469 -0.1203329078110277 0.09254232000456691
0.47 -0.12031533037722 0.09238175149398632
0.471 -0.1202978242915365 0.09222190039665963
0.472 -0.1202803891932176 0.09206276205240238
0.473 -0.1202630247243804 0.09190433182986821
0.474 -0.1202457305299942 0.09174660512626795
0.475 -0.1202285062578558 0.09158957736709146
0.476 -0.1202113515585656 0.09143324400583219
0.477 -0.1201942660855036 0.09127760052371452
0.478 -0.1201772494948062 0.09112264242942363
0.479 -0.1201603014453425 0.09096836525883809
0.48 -0.1201434215986917 0.09081476457476499
0.481 -0.1201266096191201 0.09066183596667763
0.482 -0.1201098651735587 0.09050957505045572
0.483 -0.1200931879315813 0.09035797746812807
0.484 -0.120076577565382 0.09020703888761767
0.485 -0.1200600337497542 0.09005675500248924
0.486 -0.1200435561620687 0.08990712153169912
0.487 -0.1200271444822527 0.08975813421934754
0.488 -0.120010798392769 0.08960978883443308
0.489 -0.1199945175785951 0.08946208117060957
0.49 -0.119978301727203 0.08931500704594512
0.491 -0.1199621505285389 0.08916856230268335
0.492 -0.1199460636750032 0.08902274280700689
0.493 -0.1199300408614312 0.08887754444880294
0.494 -0.119914081785073 0.08873296314143098
0.495 -0.1198981861455745 0.08858899482149256
0.496 -0.1198823536449589 0.08844563544860315
0.497 -0.1198665839876069 0.08830288100516602
0.498 -0.1198508768802391 0.0881607274961481
0.499 -0.1198352320318972 0.0880191709488578
0.5 -0.1198196491539256 0.08787820741272482
0.501 -0.1198041279599541 0.08773783295908182
0.502 -0.1197886681658797 0.08759804368094796
0.503 -0.1197732694898496 0.08745883569281437
0.504 -0.1197579316522432 0.08732020513043136
0.505 -0.1197426543756556 0.08718214815059748
0.506 -0.1197274373848806 0.08704466093095037
0.507 -0.1197122804068939 0.08690773966975928
0.508 -0.1196971831708368 0.08677138058571939
0.509 -0.1196821454079996 0.08663557991774781
0.51 -0.1196671668518059 0.0865003339247812
0.511 -0.1196522472377965 0.08636563888557509
0.512 -0.1196373863036137 0.08623149109850481
0.513 -0.1196225837889859 0.08609788688136798
0.514 -0.1196078394357121 0.08596482257118859
0.515 -0.1195931529876469 0.08583229452402266
0.516 -0.1195785241906854 0.08570029911476537
0.517 -0.1195639527927488 0.08556883273695969
0.518 -0.1195494385437693 0.08543789180260653
0.519 -0.1195349811956758 0.08530747274197633
0.52 -0.1195205805023801 0.085177572003422
0.521 -0.1195062362197622 0.08504818605319339
0.522 -0.1194919481056569 0.08491931137525304
0.523 -0.1194777159198398 0.08479094447109336
0.524 -0.1194635394240137 0.08466308185955509
0.525 -0.1194494183817955 0.08453572007664711
0.526 -0.1194353525587028 0.08440885567536757
0.527 -0.1194213417221407 0.08428248522552622
0.528 -0.1194073856413893 0.08415660531356806
0.529 -0.1193934840875905 0.08403121254239818
0.53 -0.1193796368337358 0.08390630353120783
0.531 -0.1193658436546536 0.08378187491530169
0.532 -0.119352104326997 0.08365792334592623
0.533 -0.1193384186292322 0.08353444549009937
0.534 -0.1193247863416256 0.08341143803044108
0.535 -0.1193112072462328 0.08328889766500525
0.536 -0.1192976811268867 0.08316682110711256
0.537 -0.1192842077691859 0.0830452050851844
0.538 -0.1192707869604834 0.08292404634257794
0.539 -0.1192574184898756 0.08280334163742212
0.54 -0.1192441021481909 0.0826830877424547
0.541 -0.119230837727979 0.0825632814448603
0.542 -0.1192176250235004 0.0824439195461094
0.543 -0.1192044638307152 0.08232499886179826
0.544 -0.119191353947273 0.0822065162214899
0.545 -0.1191782951725025 0.08208846846855578
0.546 -0.1191652873074012 0.0819708524600186
0.547 -0.1191523301546258 0.08185366506639581
0.548 -0.1191394235184813 0.08173690317154411
0.549 -0.1191265672049124 0.08162056367250463
0.55 -0.1191137610214928 0.08150464347934912
0.551 -0.1191010047774164 0.08138913951502681
0.552 -0.1190882982834877 0.0812740487152121
0.553 -0.1190756413521124 0.08115936802815305
0.554 -0.1190630337972883 0.08104509441452053
0.555 -0.1190504754345967 0.08093122484725822
0.556 -0.1190379660811929 0.08081775631143327
0.557 -0.1190255055557981 0.08070468580408761
0.558 -0.1190130936786903 0.08059201033409006
0.559 -0.1190007302716962 0.08047972692198897
0.56 -0.1189884151581825 0.08036783259986562
0.561 -0.1189761481630479 0.08025632441118819
0.562 -0.1189639291127151 0.08014519941066633
0.563 -0.1189517578351225 0.08003445466410641
0.564 -0.1189396341597166 0.07992408724826721
0.565 -0.1189275579174442 0.07981409425071635
0.566 -0.1189155289407448 0.07970447276968707
0.567 -0.1189035470635429 0.0795952199139357
0.568 -0.118891612121241 0.07948633280259957
0.569 -0.1188797239507123 0.07937780856505538
0.57 -0.1188678823902931 0.07926964434077816
0.571 -0.1188560872797764 0.07916183727920056
0.572 -0.1188443384604046 0.07905438453957268
0.573 -0.118832635774863 0.07894728329082228
0.574 -0.1188209790672728 0.07884053071141543
0.575 -0.1188093681831851 0.07873412398921754
0.576 -0.1187978029695737 0.07862806032135476
0.577 -0.1187862832748295 0.07852233691407577
0.578 -0.118774808948754 0.07841695098261389
0.579 -0.1187633798425532 0.07831189975104951
0.58 -0.1187519958088316 0.07820718045217288
0.581 -0.1187406567015866 0.07810279032734716
0.582 -0.1187293623762025 0.07799872662637173
0.583 -0.1187181126894448 0.07789498660734584
0.584 -0.118706907499455 0.07779156753653239
0.585 -0.118695746665745 0.07768846668822206
0.586 -0.1186846300491919 0.07758568134459758
0.587 -0.1186735575120325 0.07748320879559818
0.588 -0.1186625289178587 0.07738104633878432
0.589 -0.1186515441316123 0.07727919127920248
0.59 -0.1186406030195801 0.07717764092925013
0.591 -0.1186297054493893 0.07707639260854084
0.592 -0.1186188512900026 0.07697544364376952
0.593 -0.1186080404117143 0.0768747913685777
0.594 -0.118597272686145 0.07677443312341894
0.595 -0.118586547986238 0.0766743662554243
0.596 -0.118575866186255 0.0765745881182678
0.597 -0.1185652271617717 0.07647509607203199
0.598 -0.1185546307896742 0.07637588748307347
0.599 -0.1185440769481547 0.07627695972388842
0.6 -0.1185335655167082 0.07617831017297812
0.601 -0.1185230963761288 0.07607993621471442
0.602 -0.1185126694085058 0.07598183523920514
0.603 -0.1185022844972206 0.07588400464215942
0.604 -0.1184919415269433 0.07578644182475294
0.605 -0.1184816403836294 0.07568914419349306
0.606 -0.1184713809545168 0.07559210916008383
0.607 -0.118461163128123 0.07549533414129084
0.608 -0.1184509867942417 0.07539881655880589
0.609 -0.1184408518439406 0.07530255383911151
0.61 -0.1184307581695581 0.07520654341334525
0.611 -0.1184207056647016 0.07511078271716379
